Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,21,Brazil,5510,Production,333,Linseed,2012,2012,tonnes,7338,,Official data
QC,Crops,21,Brazil,5510,Production,333,Linseed,2013,2013,tonnes,9734,,Official data
QC,Crops,21,Brazil,5510,Production,333,Linseed,2014,2014,tonnes,4839,,Official data
QC,Crops,21,Brazil,5510,Production,56,Maize,2010,2010,tonnes,55364271,,Official data
QC,Crops,21,Brazil,5510,Production,56,Maize,2011,2011,tonnes,55660235,,Official data
QC,Crops,21,Brazil,5510,Production,56,Maize,2012,2012,tonnes,71072810,,Official data
QC,Crops,21,Brazil,5510,Production,56,Maize,2013,2013,tonnes,80273172,,Official data
QC,Crops,21,Brazil,5510,Production,56,Maize,2014,2014,tonnes,79881614,,Official data
QC,Crops,21,Brazil,5510,Production,571,"Mangoes, mangosteens, guavas",2010,2010,tonnes,1189651,,Official data
QC,Crops,21,Brazil,5510,Production,571,"Mangoes, mangosteens, guavas",2011,2011,tonnes,1249453,,Official data
QC,Crops,21,Brazil,5510,Production,571,"Mangoes, mangosteens, guavas",2012,2012,tonnes,1175735,,Official data
QC,Crops,21,Brazil,5510,Production,571,"Mangoes, mangosteens, guavas",2013,2013,tonnes,1163000,,Official data
QC,Crops,21,Brazil,5510,Production,571,"Mangoes, mangosteens, guavas",2014,2014,tonnes,1132463,,Official data
QC,Crops,21,Brazil,5510,Production,671,Maté,2010,2010,tonnes,602559,,Official data
QC,Crops,21,Brazil,5510,Production,671,Maté,2011,2011,tonnes,443635,,Official data
QC,Crops,21,Brazil,5510,Production,671,Maté,2012,2012,tonnes,513256,,Official data
QC,Crops,21,Brazil,5510,Production,671,Maté,2013,2013,tonnes,515451,,Official data
QC,Crops,21,Brazil,5510,Production,671,Maté,2014,2014,tonnes,602559,,Official data
QC,Crops,21,Brazil,5510,Production,568,"Melons, other (inc.cantaloupes)",2010,2010,tonnes,478392,,Official data
QC,Crops,21,Brazil,5510,Production,568,"Melons, other (inc.cantaloupes)",2011,2011,tonnes,499330,,Official data
QC,Crops,21,Brazil,5510,Production,568,"Melons, other (inc.cantaloupes)",2012,2012,tonnes,575386,,Official data
QC,Crops,21,Brazil,5510,Production,568,"Melons, other (inc.cantaloupes)",2013,2013,tonnes,565900,,Official data
QC,Crops,21,Brazil,5510,Production,568,"Melons, other (inc.cantaloupes)",2014,2014,tonnes,589939,,Official data
QC,Crops,21,Brazil,5510,Production,234,"Nuts, nes",2010,2010,tonnes,2686,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,234,"Nuts, nes",2011,2011,tonnes,2726,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,234,"Nuts, nes",2012,2012,tonnes,2765,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,234,"Nuts, nes",2013,2013,tonnes,2805,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,234,"Nuts, nes",2014,2014,tonnes,2845,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,75,Oats,2010,2010,tonnes,395056,,Official data
QC,Crops,21,Brazil,5510,Production,75,Oats,2011,2011,tonnes,373009,,Official data
QC,Crops,21,Brazil,5510,Production,75,Oats,2012,2012,tonnes,431024,,Official data
QC,Crops,21,Brazil,5510,Production,75,Oats,2013,2013,tonnes,520397,,Official data
QC,Crops,21,Brazil,5510,Production,75,Oats,2014,2014,tonnes,432136,,Official data
QC,Crops,21,Brazil,5510,Production,257,"Oil, palm",2010,2010,tonnes,250000,*,Unofficial figure
